IMD Rank,IMD Decile,ITL1,ITL2
32889,10,London,Outer London - East and North East
25920,8,London,Outer London - East and North East
22567,7,London,Outer London - East and North East
11929,4,London,Outer London - East and North East
4149,2,London,Outer London - East and North East
15673,5,London,Outer London - East and North East
4439,2,London,Outer London - East and North East
3945,2,London,Outer London - East and North East
5490,2,London,Outer London - East and North East
9301,3,London,Outer London - East and North East
32315,10,London,Outer London - East and North East
24368,8,London,Outer London - East and North East
17977,6,London,Outer London - East and North East
9525,3,London,Outer London - East and North East
31013,10,London,Outer London - East and North East
6462,2,London,Outer London - East and North East
25803,8,London,Outer London - East and North East
19024,6,London,Outer London - East and North East
32469,10,London,Outer London - East and North East
30998,10,London,Outer London - East and North East
31326,10,London,Outer London - East and North East
23525,7,London,Outer London - East and North East
33301,10,London,Outer London - East and North East
32719,10,London,Outer London - East and North East
17947,6,London,Outer London - East and North East
29408,9,London,Outer London - East and North East
30971,10,London,Outer London - East and North East
29668,9,London,Outer London - East and North East
17008,6,London,Outer London - East and North East
29793,9,London,Outer London - East and North East
31709,10,London,Outer London - East and North East
20745,7,London,Outer London - East and North East
31722,10,London,Outer London - East and North East
20044,6,London,Outer London - East and North East
32849,10,London,Outer London - East and North East
31898,10,London,Outer London - East and North East
22602,7,London,Outer London - East and North East
31099,10,London,Outer London - East and North East
9485,3,London,Outer London - East and North East
7701,3,London,Outer London - East and North East
9426,3,London,Outer London - East and North East
11678,4,London,Outer London - East and North East
13855,5,London,Outer London - East and North East
13692,5,London,Outer London - East and North East
4590,2,London,Outer London - East and North East
12806,4,London,Outer London - West and North West
10784,4,London,Outer London - West and North West
7237,3,London,Outer London - West and North West
10359,4,London,Outer London - West and North West
9882,3,London,Outer London - West and North West
11152,4,London,Outer London - West and North West
4734,2,London,Outer London - West and North West
9209,3,London,Outer London - West and North West
17040,6,London,Outer London - West and North West
18864,6,London,Outer London - West and North West
7371,3,London,Outer London - West and North West
3583,2,London,Outer London - West and North West
7717,3,London,Outer London - West and North West
10549,4,London,Outer London - West and North West
17267,6,London,Outer London - West and North West
11048,4,London,Outer London - West and North West
12746,4,London,Outer London - West and North West
14355,5,London,Outer London - West and North West
10525,4,London,Outer London - West and North West
14787,5,London,Outer London - West and North West
18107,6,London,Outer London - West and North West
20299,7,London,Outer London - West and North West
12795,4,London,Outer London - West and North West
7854,3,London,Outer London - West and North West
6927,3,London,Outer London - West and North West
1933,1,London,Outer London - West and North West
2823,1,London,Outer London - West and North West
5012,2,London,Outer London - West and North West
5431,2,London,Outer London - West and North West
5493,2,London,Outer London - West and North West
11117,4,London,Outer London - West and North West
12513,4,London,Outer London - West and North West
3392,2,London,Outer London - West and North West
11060,4,London,Outer London - West and North West
3133,1,London,Outer London - West and North West
2207,1,London,Outer London - West and North West
1482,1,London,Outer London - West and North West
4419,2,London,Outer London - West and North West
10867,4,London,Outer London - West and North West
12703,4,London,Outer London - West and North West
14186,5,London,Outer London - West and North West
7343,3,London,Outer London - West and North West
13265,4,London,Outer London - West and North West
17692,6,London,Outer London - West and North West
13012,4,London,Outer London - West and North West
8909,3,London,Outer London - West and North West
9522,3,London,Outer London - West and North West
721,1,London,Outer London - West and North West
5134,2,London,Outer London - West and North West
2961,1,London,Outer London - West and North West
799,1,London,Outer London - West and North West
3505,2,London,Outer London - West and North West
1995,1,London,Outer London - West and North West
1822,1,London,Outer London - West and North West
3308,1,London,Outer London - West and North West
18923,6,London,Outer London - West and North West
6884,3,London,Outer London - West and North West
11306,4,London,Outer London - West and North West
1629,1,London,Outer London - West and North West
